Model,Method,Metric,Value
domain_adversarial,platt_scaling,tn,845.0
domain_adversarial,platt_scaling,fn,263.0
domain_adversarial,isotonic_regression,auc,0.5043625869276867
domain_adversarial,isotonic_regression,average_precision,0.25729687414593644
domain_adversarial,isotonic_regression,precision,0.28662420382165604
domain_adversarial,isotonic_regression,recall,0.12186865267433988
domain_adversarial,isotonic_regression,sensitivity,0.12186865267433988
domain_adversarial,isotonic_regression,specificity,0.895910780669145
domain_adversarial,isotonic_regression,youdens_j,0.017779433343484863
domain_adversarial,isotonic_regression,f1,0.17102137767220904
domain_adversarial,isotonic_regression,balanced_accuracy,0.5088897166717424
domain_adversarial,isotonic_regression,mcc,0.02491921752432855
domain_adversarial,isotonic_regression,brier_score,0.19086613912597963
domain_adversarial,isotonic_regression,event_rate,0.255492129389379
domain_adversarial,isotonic_regression,tp,180.0
domain_adversarial,isotonic_regression,fp,448.0
domain_adversarial,isotonic_regression,tn,3856.0
domain_adversarial,isotonic_regression,fn,1297.0
causal_transfer,platt_scaling,auc,0.7021030176460372
causal_transfer,platt_scaling,average_precision,0.46679694980588504
causal_transfer,platt_scaling,precision,0.41943359375
causal_transfer,platt_scaling,recall,0.5815842924847664
causal_transfer,platt_scaling,sensitivity,0.5815842924847664
causal_transfer,platt_scaling,specificity,0.7237453531598512
causal_transfer,platt_scaling,youdens_j,0.30532964564461773
causal_transfer,platt_scaling,f1,0.4873758865248226
causal_transfer,platt_scaling,balanced_accuracy,0.6526648228223089
causal_transfer,platt_scaling,mcc,0.27842061058660017
causal_transfer,platt_scaling,brier_score,0.1711604608119902
causal_transfer,platt_scaling,event_rate,0.255492129389379
causal_transfer,platt_scaling,tp,859.0
causal_transfer,platt_scaling,fp,1189.0
causal_transfer,platt_scaling,tn,3115.0
causal_transfer,platt_scaling,fn,618.0
causal_transfer,isotonic_regression,auc,0.700775506338831
causal_transfer,isotonic_regression,average_precision,0.44789862401236624
causal_transfer,isotonic_regression,precision,0.42163244867300953
causal_transfer,isotonic_regression,recall,0.5700744752877455
causal_transfer,isotonic_regression,sensitivity,0.5700744752877455
causal_transfer,isotonic_regression,specificity,0.7316449814126393
causal_transfer,isotonic_regression,youdens_j,0.3017194567003849
causal_transfer,isotonic_regression,f1,0.48474381116868165
causal_transfer,isotonic_regression,balanced_accuracy,0.6508597283501925
causal_transfer,isotonic_regression,mcc,0.27673564344389123
causal_transfer,isotonic_regression,brier_score,0.17117403585026078
causal_transfer,isotonic_regression,event_rate,0.255492129389379
causal_transfer,isotonic_regression,tp,842.0
causal_transfer,isotonic_regression,fp,1155.0
causal_transfer,isotonic_regression,tn,3149.0
causal_transfer,isotonic_regression,fn,635.0
tabtransformer,platt_scaling,auc,0.5411758959560851
tabtransformer,platt_scaling,average_precision,0.28474379389805565
tabtransformer,platt_scaling,precision,0.30384167636786963
tabtransformer,platt_scaling,recall,0.35341909275558564
tabtransformer,platt_scaling,sensitivity,0.35341909275558564
tabtransformer,platt_scaling,specificity,0.7221189591078068
tabtransformer,platt_scaling,youdens_j,0.07553805186339235
tabtransformer,platt_scaling,f1,0.32676056338028164
tabtransformer,platt_scaling,balanced_accuracy,0.5377690259316962
tabtransformer,platt_scaling,mcc,0.072087035863255
tabtransformer,platt_scaling,brier_score,0.18985875106468136
tabtransformer,platt_scaling,event_rate,0.255492129389379
tabtransformer,platt_scaling,tp,522.0
tabtransformer,platt_scaling,fp,1196.0
tabtransformer,platt_scaling,tn,3108.0
tabtransformer,platt_scaling,fn,955.0
tabtransformer,isotonic_regression,auc,0.541437103744403
tabtransformer,isotonic_regression,average_precision,0.2761583476094394
tabtransformer,isotonic_regression,precision,0.2997229916897507
tabtransformer,isotonic_regression,recall,0.3662830060934326
tabtransformer,isotonic_regression,sensitivity,0.3662830060934326
tabtransformer,isotonic_regression,specificity,0.7063197026022305
tabtransformer,isotonic_regression,youdens_j,0.0726027086956631
tabtransformer,isotonic_regression,f1,0.3296770262035344
tabtransformer,isotonic_regression,balanced_accuracy,0.5363013543478315
tabtransformer,isotonic_regression,mcc,0.06833094262667312
tabtransformer,isotonic_regression,brier_score,0.1909733618428124
tabtransformer,isotonic_regression,event_rate,0.255492129389379
tabtransformer,isotonic_regression,tp,541.0
tabtransformer,isotonic_regression,fp,1264.0
tabtransformer,isotonic_regression,tn,3040.0
tabtransformer,isotonic_regression,fn,936.0
enhanced_maml,platt_scaling,auc,0.4956566831440199
enhanced_maml,platt_scaling,average_precision,0.2564407942173793
enhanced_maml,platt_scaling,precision,0.3170731707317073
enhanced_maml,platt_scaling,recall,0.026404874746106973
enhanced_maml,platt_scaling,sensitivity,0.026404874746106973
enhanced_maml,platt_scaling,specificity,0.9804832713754646
enhanced_maml,platt_scaling,youdens_j,0.0068881461215715145
enhanced_maml,platt_scaling,f1,0.04875
enhanced_maml,platt_scaling,balanced_accuracy,0.5034440730607858
enhanced_maml,platt_scaling,mcc,0.020818273182038702
enhanced_maml,platt_scaling,brier_score,0.19044170445869368
enhanced_maml,platt_scaling,event_rate,0.255492129389379
enhanced_maml,platt_scaling,tp,39.0
enhanced_maml,platt_scaling,fp,84.0
enhanced_maml,platt_scaling,tn,4220.0
enhanced_maml,platt_scaling,fn,1438.0
enhanced_maml,isotonic_regression,auc,0.5001823184743515
enhanced_maml,isotonic_regression,average_precision,0.2557269920264427
enhanced_maml,isotonic_regression,precision,0.2558353243888991
enhanced_maml,isotonic_regression,recall,0.942450914014895
enhanced_maml,isotonic_regression,sensitivity,0.942450914014895
enhanced_maml,isotonic_regression,specificity,0.059247211895910756
enhanced_maml,isotonic_regression,youdens_j,0.001698125910805759
enhanced_maml,isotonic_regression,f1,0.4024284475281874
enhanced_maml,isotonic_regression,balanced_accuracy,0.5008490629554029
enhanced_maml,isotonic_regression,mcc,0.0031478747660519794
enhanced_maml,isotonic_regression,brier_score,0.19043283095214866
enhanced_maml,isotonic_regression,event_rate,0.255492129389379
enhanced_maml,isotonic_regression,tp,1392.0
enhanced_maml,isotonic_regression,fp,4049.0
enhanced_maml,isotonic_regression,tn,255.0
enhanced_maml,isotonic_regression,fn,85.0
meta_ensemble,platt_scaling,auc,0.701789112110603
meta_ensemble,platt_scaling,average_precision,0.4644769194189784
meta_ensemble,platt_scaling,precision,0.4106813996316759
meta_ensemble,platt_scaling,recall,0.6039268788083954
meta_ensemble,platt_scaling,sensitivity,0.6039268788083954
meta_ensemble,platt_scaling,specificity,0.7026022304832713
meta_ensemble,platt_scaling,youdens_j,0.30652910929166666
meta_ensemble,platt_scaling,f1,0.4889010687859688
meta_ensemble,platt_scaling,balanced_accuracy,0.6532645546458333
meta_ensemble,platt_scaling,mcc,0.2760417364824305
meta_ensemble,platt_scaling,brier_score,0.1701478226987815
meta_ensemble,platt_scaling,event_rate,0.255492129389379
meta_ensemble,platt_scaling,tp,892.0
meta_ensemble,platt_scaling,fp,1280.0
meta_ensemble,platt_scaling,tn,3024.0
meta_ensemble,platt_scaling,fn,585.0
meta_ensemble,isotonic_regression,auc,0.6977707122596039
meta_ensemble,isotonic_regression,average_precision,0.433166062019879
meta_ensemble,isotonic_regression,precision,0.3843042071197411
meta_ensemble,isotonic_regression,recall,0.6431956668923493
meta_ensemble,isotonic_regression,sensitivity,0.6431956668923493
meta_ensemble,isotonic_regression,specificity,0.6463754646840149
meta_ensemble,isotonic_regression,youdens_j,0.28957113157636405
meta_ensemble,isotonic_regression,f1,0.48113446442137253
meta_ensemble,isotonic_regression,balanced_accuracy,0.644785565788182
meta_ensemble,isotonic_regression,mcc,0.2552754353092983
meta_ensemble,isotonic_regression,brier_score,0.1718001077361066
meta_ensemble,isotonic_regression,event_rate,0.255492129389379
meta_ensemble,isotonic_regression,tp,950.0
meta_ensemble,isotonic_regression,fp,1522.0
meta_ensemble,isotonic_regression,tn,2782.0
meta_ensemble,isotonic_regression,fn,527.0
