Model,AUC,AveragePrecision,Precision,Recall,Sensitivity,Specificity,YoudensJ,F1,BalancedAccuracy,MCC,BrierScore,EventRate,Tp,Fp,Tn,Fn,OptimalThreshold
meta_ensemble,0.7024350134528696,0.46437920630063606,0.41098398169336386,0.6079891672308734,0.6079891672308734,0.7009758364312267,0.3089650036621001,0.4904423812124522,0.6544825018310501,0.2779073971306533,0.16951310026561425,0.255492129389379,898.0,1287.0,3017.0,579.0,0.2520464473447322
target_only,0.7022688189160686,0.46637230026811627,0.41016166281755195,0.6012186865267434,0.6012186865267434,0.7032992565055762,0.3045179430323195,0.4876441515650742,0.6522589715161597,0.2744075809504528,0.2163586954604491,0.255492129389379,888.0,1277.0,3027.0,589.0,0.48842162959353463
causal_transfer,0.7021030176460372,0.46679694980588504,0.41943359375,0.5815842924847664,0.5815842924847664,0.7237453531598512,0.30532964564461773,0.4873758865248226,0.6526648228223089,0.27842061058660017,0.17079894091399725,0.255492129389379,859.0,1189.0,3115.0,618.0,0.2646950256954916
source_only,0.5421965018763544,0.2799080526538775,0.27327887981330223,0.7928232904536222,0.7928232904536222,0.2764869888475836,0.06931027930120592,0.406456091634849,0.534655139650603,0.0690212496456206,0.7429878353996378,0.255492129389379,1171.0,3114.0,1190.0,306.0,0.9999185402011687
tabtransformer,0.51766271176629,0.2741681286409997,0.27570722945666815,0.41570751523358157,0.41570751523358157,0.6252323420074349,0.04093985724101645,0.33153347732181426,0.5204699286205082,0.03669052133305102,0.2217367358050537,0.255492129389379,614.0,1613.0,2691.0,863.0,0.1795773059129715
domain_adversarial,0.5129999049867485,0.26915623286794105,0.29778393351800553,0.14556533513879485,0.14556533513879485,0.8822026022304833,0.027767937369278073,0.19554342883128695,0.513883968684639,0.036632711154774525,0.19304207442074964,0.255492129389379,215.0,507.0,3797.0,1262.0,0.32206016778945923
prototypical_networks,0.5024125343243236,0.2581736656257793,0.2615606936416185,0.6127285037237644,0.6127285037237644,0.4063661710037175,0.01909467472748183,0.36661940449665786,0.5095473373637409,0.016988812532889152,0.25006704588975565,0.255492129389379,905.0,2555.0,1749.0,572.0,0.4941123127937317
enhanced_maml,0.5016875863613826,0.25602776348053446,0.25685877370649973,0.9444820582261341,0.9444820582261341,0.06226765799256506,0.006749716218699131,0.4038795599305154,0.5033748581093496,0.012343489995869655,0.24219326912311398,0.255492129389379,1395.0,4036.0,268.0,82.0,0.37520068883895874
