Model,BrierScore,HosmerLemeshowP,ECE,OptimalThreshold
source_only,0.24293436440803742,0.0,0.18827218986748173,0.6013287818405079
target_only,0.21587453507088364,0.0,0.14313710617323513,0.4989135747023699
prototypical_networks,0.24810270762826678,0.0,0.1566881631569982,0.5058636665344238
domain_adversarial,0.20650797670246424,6.85290713065001e-11,0.02095840068044443,0.33232995867729187
causal_transfer,0.19587763520997564,0.0809263354168217,0.017243031375935566,0.3342045500193268
tabtransformer,0.2027541006053354,1.4141687820767856e-11,0.01970618971549962,0.3221774101257324
enhanced_maml,0.21908435517913438,0.0,0.04422942426550894,0.4065019190311432
meta_ensemble,0.19521333269798188,0.5831939160360751,0.00886761989778144,0.3390044793516624
