Model,AUC,AUC_CI_lower,AUC_CI_upper,AveragePrecision,AP_CI_lower,AP_CI_upper,Precision,Precision_CI_lower,Precision_CI_upper,Recall,Recall_CI_lower,Recall_CI_upper,Specificity,Specificity_CI_lower,Specificity_CI_upper,BalancedAccuracy,Balanced_CI_lower,Balanced_CI_upper,F1,F1_CI_lower,F1_CI_upper,MCC,MCC_CI_lower,MCC_CI_upper,BrierScore,Brier_CI_lower,Brier_CI_upper
meta_ensemble,0.7278320908292785,0.6914199716854109,0.7640007037300368,0.8389342893961179,0.8060053816567891,0.869529028833273,0.8362068965517241,0.7965577441106325,0.8760658491176947,0.5672514619883041,0.5270244282744282,0.607849761526232,0.7824427480916031,0.7359059615083711,0.8299634220686851,0.6748471050399536,0.6454251284834541,0.7077595840617473,0.6759581881533101,0.640386581119087,0.7102608651041621,0.332578530803319,0.27595318366950106,0.3938367424973688,0.19307872693796796,0.18016354947389748,0.20669059379987653
source_only,0.7251536389744505,0.68769500027742,0.7611609008781495,0.8409283575972316,0.8084467048173162,0.8724995143297468,0.8262108262108262,0.7850956843975605,0.8654368991960993,0.5653021442495126,0.5228107388369356,0.6048518415523421,0.767175572519084,0.7125972297491153,0.8153874538745387,0.6662388583842983,0.6306933349918462,0.7019847900246607,0.6712962962962963,0.6324547405722335,0.7061468862553736,0.31596238627594814,0.2503139957084186,0.38112511375521413,0.20350946537757805,0.19026946358279997,0.2165567374883021
tabtransformer,0.688451408419267,0.6498101499832526,0.723528881703018,0.8083473166431694,0.7686137085313614,0.8438861768776191,0.7732696897374701,0.7341424366214105,0.8125108256351039,0.631578947368421,0.5921712068984148,0.6730420021376451,0.6374045801526718,0.5819066691505216,0.6932885515829947,0.6344917637605464,0.602374173342234,0.669069053334725,0.6952789699570815,0.6622073578595319,0.7266998112804445,0.2553306803704955,0.19385516360778632,0.3226524654136693,0.20189641915001277,0.1902337052159603,0.21410349706301776
enhanced_maml,0.6771200690445367,0.6367078164835764,0.7130234502491047,0.7986958377218143,0.7617550519671451,0.8319836363945466,0.7922077922077922,0.7506687664282857,0.830423940149626,0.594541910331384,0.5477909005261519,0.6363729128014842,0.6946564885496184,0.6386324718566672,0.7469965270334005,0.6445991994405011,0.6076909511391119,0.678258928349828,0.6792873051224945,0.6414676001866398,0.7110203161149062,0.27361666436399557,0.20263899009599115,0.3385201721487801,0.2070812161733241,0.1977002461274428,0.2172815279278264
domain_adversarial,0.6512878889335297,0.6091065391617095,0.692130328239062,0.7844852022308954,0.7466349401190499,0.819053682695894,0.7655860349127181,0.7254297858942065,0.8085726390335897,0.5984405458089669,0.5553149018659452,0.6401538248337029,0.6412213740458015,0.5833176691729324,0.6996292775665399,0.6198309599273841,0.5847900260166827,0.6554380214445749,0.6717724288840262,0.6372752147146007,0.7067365304452843,0.22688217391271065,0.161487392878278,0.2943020858257313,0.21251500360616862,0.2005699557618538,0.22521313128529866
causal_transfer,0.6338109905807776,0.593370448901756,0.6755968593204867,0.7614674854995732,0.718655656923638,0.8015617717939084,0.7606837606837606,0.7142857142857143,0.8055629432624114,0.52046783625731,0.4760908174530793,0.5677799607072691,0.6793893129770993,0.6240869052192525,0.7391304347826086,0.5999285746172046,0.5641619062548924,0.6364241825428213,0.6180555555555555,0.5784269801110408,0.6566207059614104,0.18992954595619574,0.12062526438680991,0.26032517365140434,0.22675709382662318,0.21088514402193728,0.24475657479699564
target_only,0.6282532029820096,0.5890274043895659,0.6717770320622274,0.7598342529395988,0.7152950472038375,0.7988317862178972,0.7702265372168284,0.7213037668944962,0.8157997212657813,0.46393762183235865,0.4202083956899132,0.507740026947344,0.7290076335877863,0.6778995006242197,0.7814933166248955,0.5964726277100725,0.5627647646555511,0.6305763063518071,0.5790754257907543,0.5377501767486714,0.6191132838141302,0.18641087017671434,0.12109061695709251,0.2516057703987348,0.2466625375623457,0.2298996067592759,0.26280277131990853
prototypical_networks,0.5504776572474442,0.5099101291135928,0.5910731634002406,0.7009791865582472,0.6545704835224657,0.7513229022590686,0.723404255319149,0.6774093368062513,0.7726016499434384,0.46393762183235865,0.42051926584587324,0.5077519379844961,0.6526717557251909,0.5949753682914121,0.7098069151324652,0.5583046887787748,0.5226934824162276,0.5919030029704183,0.5653206650831354,0.5252768125147903,0.6071019473081328,0.11160340037326877,0.04340651526179662,0.17505597398585282,0.24906832737247434,0.248365016904189,0.24972387237173832
