Model,Method,Metric,Value
domain_adversarial,platt_scaling,fp,2113.0
domain_adversarial,platt_scaling,tn,4660.0
domain_adversarial,platt_scaling,fn,1517.0
domain_adversarial,isotonic_regression,auc,0.6620354690512416
domain_adversarial,isotonic_regression,average_precision,0.49137099702036385
domain_adversarial,isotonic_regression,precision,0.4774241302738712
domain_adversarial,isotonic_regression,recall,0.5608695652173913
domain_adversarial,isotonic_regression,sensitivity,0.5608695652173913
domain_adversarial,isotonic_regression,specificity,0.6872877602244205
domain_adversarial,isotonic_regression,youdens_j,0.24815732544181168
domain_adversarial,isotonic_regression,f1,0.5157936825269892
domain_adversarial,isotonic_regression,balanced_accuracy,0.6240786627209058
domain_adversarial,isotonic_regression,mcc,0.23988124890742182
domain_adversarial,isotonic_regression,brier_score,0.20638455776285847
domain_adversarial,isotonic_regression,event_rate,0.33747432260588867
domain_adversarial,isotonic_regression,tp,1935.0
domain_adversarial,isotonic_regression,fp,2118.0
domain_adversarial,isotonic_regression,tn,4655.0
domain_adversarial,isotonic_regression,fn,1515.0
causal_transfer,platt_scaling,auc,0.7054538801764038
causal_transfer,platt_scaling,average_precision,0.5620109209273733
causal_transfer,platt_scaling,precision,0.5346641489074724
causal_transfer,platt_scaling,recall,0.5744927536231884
causal_transfer,platt_scaling,sensitivity,0.5744927536231884
causal_transfer,platt_scaling,specificity,0.7453122693045917
causal_transfer,platt_scaling,youdens_j,0.31980502292778024
causal_transfer,platt_scaling,f1,0.5538633505658795
causal_transfer,platt_scaling,balanced_accuracy,0.6599025114638901
causal_transfer,platt_scaling,mcc,0.3145455425152698
causal_transfer,platt_scaling,brier_score,0.19588489853914418
causal_transfer,platt_scaling,event_rate,0.33747432260588867
causal_transfer,platt_scaling,tp,1982.0
causal_transfer,platt_scaling,fp,1725.0
causal_transfer,platt_scaling,tn,5048.0
causal_transfer,platt_scaling,fn,1468.0
causal_transfer,isotonic_regression,auc,0.7041603382569752
causal_transfer,isotonic_regression,average_precision,0.5400376707902022
causal_transfer,isotonic_regression,precision,0.5356654823722329
causal_transfer,isotonic_regression,recall,0.5681159420289855
causal_transfer,isotonic_regression,sensitivity,0.5681159420289855
causal_transfer,isotonic_regression,specificity,0.749151040897682
causal_transfer,isotonic_regression,youdens_j,0.31726698292666766
causal_transfer,isotonic_regression,f1,0.5514137009424673
causal_transfer,isotonic_regression,balanced_accuracy,0.6586334914633337
causal_transfer,isotonic_regression,mcc,0.31293884336873734
causal_transfer,isotonic_regression,brier_score,0.1958045553553159
causal_transfer,isotonic_regression,event_rate,0.33747432260588867
causal_transfer,isotonic_regression,tp,1960.0
causal_transfer,isotonic_regression,fp,1699.0
causal_transfer,isotonic_regression,tn,5074.0
causal_transfer,isotonic_regression,fn,1490.0
tabtransformer,platt_scaling,auc,0.682272878030201
tabtransformer,platt_scaling,average_precision,0.5295278233049263
tabtransformer,platt_scaling,precision,0.48268745700527405
tabtransformer,platt_scaling,recall,0.6101449275362318
tabtransformer,platt_scaling,sensitivity,0.6101449275362318
tabtransformer,platt_scaling,specificity,0.6669127417687879
